Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C2, C30, C5, C8",T491A,7,10uF,
"C10, C24, C31",0805,3,1uF,
C11,T491A,1,4.7uF,
"C12, C13, C17, C18, C19, C21, C22, C25, C27, C29, C4, C6, C9",0805,13,100nF,
"C16, C7",T491A,2,22uF,
C23,0805,1,100pF,
C26,0805,1,10nF,
C28,T491A,1,2.2u,
C3,0805,1,0.1uF,
F1,FUSC3226X100N,1,0ZCH0110AF2E,
IC1,QFN50P500X500X80-29N-D,1,CP2102N-A02-GQFN28R,
J1,BELFUSE_SS-52400-002,1,SS-52400-002,
J2,JST_B2B-PH-SM4-TB,1,B2B-PH-SM4-TB,
J3,AMPHENOL_GSD090012SEU,1,GSD090012SEU,
"J4, J5",PinHeader_1x12_P2.54mm_Vertical,2,Conn_01x12_Pin,
J6,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
J7,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"LED1, LED7",LEDC2012X120N,2,GREEN,
"LED2, LED4",LEDC2012X120N,2,RED,
LED3,LEDC2012X120N,1,BLUE,
MK1,CUI_CMC-5042PF-AC,1,CMC-5042PF-AC,
Q1,TRANS_TEMT6000X01,1,TEMT6000X01,
"Q2, Q3",SOT-23,2,BC817,
"R1, R2",0805,2,5.1k,
"R10, R4",0805,2,0 jumper,
R11,0805,1,0 ohm,
R12,0805,1,330k,
"R13, R48, R7, R8, R9",0805,5,470,
R14,0805,1,22.1k,
R15,0805,1,47.5k,
"R16, R24, R26, R27, R28, R29, R3, R31, R34, R35, R37, R42, R43, R44, R45, R50",0805,16,10k,
R17,0805,1,110k,
"R25, R30, R47, R49",0805,4,50,
"R32, R33",0805,2,4.7k,
R36,0805,1,100k,
"R38, R39, R5, R6",0805,4,2k,
"R40, R41",0805,2,1M,
R51,0805,1,1k,
S1,SW_USLPT2819DT2TR,1,Boot,
S2,SW_USLPT2819DT2TR,1,Reset,
TP1,TestPoint_Pad_D1.0mm,1,Test_MOSI,
TP2,TestPoint_Pad_D1.0mm,1,Test_MISO,
TP3,TestPoint_Pad_D1.0mm,1,Test_SCLK,
TP4,TestPoint_Pad_D1.0mm,1,Test_CS_SD,
U1,QFN50P400X400X100-21N,1,MCP73871-2CAI_ML,
U2,SOT65P210X110-5N,1,MAX4466EXK,
U3,IC_XC8107AC20MR-G,1,XC6220B331MR-G,
U5,SOT-23-6,1,USBLC6-2SC6,
U6,SOIC127P790X216-8N,1,W25Q32JVSSIQ,
U7,PSON65P250X250X100-8N,1,BME280,
U8,XCVR_ESP32-S3-WROOM-1-N16R2,1,ESP32-S3-WROOM-1-N16R2,
