Designator,Mid X,Mid Y,Rotation,Layer
C1,95.3,-39.275,0.0,top
C10,101.8125,-62.575,270.0,top
C11,105.1625,-58.875,180.0,top
C12,100.264,-58.64575,0.0,top
C13,93.15,-50.8,0.0,top
C14,93.7875,-61.825,270.0,top
C15,100.375,-42.79,270.0,top
C16,171.6,-43.6275,90.0,top
C17,126.175,-55.775,90.0,top
C18,101.35,-73.85,270.0,top
C19,114.9125,-58.35,270.0,top
C2,111.19175,-62.279,90.0,top
C21,115.825,-75.375,90.0,top
C22,119.1375,-71.825,180.0,top
C23,98.6,-75.2625,0.0,top
C24,95.025,-75.2875,0.0,top
C25,87.7625,-71.1875,180.0,top
C26,91.475,-73.2125,0.0,top
C27,160.275,-62.85,180.0,top
C28,175.425,-43.65,90.0,top
C29,167.975,-43.625,90.0,top
C3,92.8375,-57.65,0.0,top
C30,96.515,-70.225,0.0,top
C31,178.35,-44.985,90.0,top
C4,115.2375,-40.8375,180.0,top
C5,114.5125,-37.6875,180.0,top
C6,115.375,-48.0375,180.0,top
C7,116.125,-51.3625,180.0,top
C8,122.975,-50.45,90.0,top
C9,108.0,-63.475,90.0,top
F1,90.145,-61.138906,270.0,top
IC1,101.1625,-53.5,0.0,top
J1,86.2025,-53.6,270.0,top
J2,107.8375,-68.225,0.0,top
J3,141.7,-56.65,90.0,top
J4,165.7,-38.45,270.0,top
J5,165.53,-75.925,270.0,top
J6,139.975,-38.47,270.0,top
J7,163.88,-70.275,90.0,top
LED1,97.1775,-43.05,90.0,top
LED2,94.6275,-43.05,90.0,top
LED3,91.8775,-43.0,90.0,top
LED4,123.75,-58.2575,270.0,top
LED7,158.975,-44.425,0.0,top
MK1,83.6125,-73.7875,0.0,top
Q1,122.1,-45.575,0.0,top
Q2,90.7375,-65.4625,180.0,top
Q3,88.0875,-44.0,180.0,top
R1,86.62,-59.688906,0.0,top
R10,111.1025,-48.65,0.0,top
R11,101.225,-68.5,270.0,top
R12,100.4,-36.575,180.0,top
R13,121.45,-58.3125,270.0,top
R14,98.9125,-61.575,0.0,top
R15,98.8875,-63.7,180.0,top
R16,160.3,-64.95,180.0,top
R17,100.3875,-38.65,0.0,top
R2,87.2375,-47.375,0.0,top
R24,125.9625,-49.75,90.0,top
R25,125.4125,-64.6,180.0,top
R26,125.4375,-66.675,0.0,top
R27,125.9375,-46.225,270.0,top
R28,120.9875,-62.2,270.0,top
R29,117.1625,-58.35,90.0,top
R3,101.05,-46.85,180.0,top
R30,119.4375,-58.35,270.0,top
R31,120.9875,-65.775,270.0,top
R32,123.0375,-74.7,90.0,top
R33,119.0875,-77.375,180.0,top
R34,122.8125,-71.825,180.0,top
R35,122.89,-43.125,180.0,top
R36,98.575,-73.1375,180.0,top
R37,95.025,-73.1375,180.0,top
R38,87.7375,-73.4375,0.0,top
R39,87.75,-75.7125,180.0,top
R4,111.1275,-46.55,0.0,top
R40,91.5,-75.2875,0.0,top
R41,91.475,-70.9625,180.0,top
R42,87.5375,-65.5,270.0,top
R43,84.8125,-44.0625,90.0,top
R44,179.125,-42.16,0.0,top
R45,180.475,-45.01,270.0,top
R47,159.25,-56.475,0.0,top
R48,158.965,-46.9,180.0,top
R49,159.225,-54.425,180.0,top
R5,109.9,-43.725,180.0,top
R50,106.8875,-53.575,0.0,top
R51,106.8875,-55.6,0.0,top
R6,109.9,-41.6,0.0,top
R7,103.86875,-46.925,90.0,top
R8,105.96875,-47.25625,90.0,top
R9,108.14375,-47.25625,90.0,top
S1,87.95,-40.675,0.0,top
S2,84.875,-65.55,270.0,top
U1,105.3,-41.85,0.0,top
U2,104.56,-75.175,180.0,top
U3,115.325,-44.4625,270.0,top
U5,94.125,-53.6125,0.0,top
U6,116.8375,-65.15,270.0,top
U7,119.1,-74.575,0.0,top
U8,175.675,-56.6,270.0,top
